id,zone,dept,image_type,image_file,before_file,status,submitted_at
9e3c3f10,DIC Mill,HSM-3,after,169.1.18052026172444.jpg,169.18052026172444.jpg,pending,26-05-2026 16:45:08
9852e657,DIC Mill,HSM-3,before,149.18052026170259.jpg,149.18052026170259.jpg,pending,26-05-2026 16:46:53
65e5ceab,DIC Mill,HSM-3,after,149.1.18052026170259.jpg,149.18052026170259.jpg,pending,26-05-2026 16:46:55
762fde2a,DIC Mill,HSM-3,before,140.18052026164234.jpg,140.18052026164234.jpg,pending,26-05-2026 16:47:48
e1fef97b,DIC Mill,HSM-3,after,140.1.18052026164234.jpg,140.18052026164234.jpg,pending,26-05-2026 16:47:50
a9f47479,DIC Mill,HSM-3,before,140.18052026164205.jpg,140.18052026164205.jpg,pending,26-05-2026 16:48:01
6050b7e8,DIC Mill,HSM-3,after,140.1.18052026164205.jpg,140.18052026164205.jpg,pending,26-05-2026 16:48:03
32c16190,DIC Mill,HSM-3,before,139.18052026164055.jpg,139.18052026164055.jpg,pending,26-05-2026 16:48:13
c12824ff,DIC Mill,HSM-3,after,139.1.18052026164055.jpg,139.18052026164055.jpg,pending,26-05-2026 16:48:16
fee2dfd1,DIC Mill,HSM-3,before,99.18052026163110.jpg,99.18052026163110.jpg,pending,26-05-2026 16:48:38
c1c1b153,DIC Mill,HSM-3,after,99.1.18052026163110.jpg,99.18052026163110.jpg,pending,26-05-2026 16:48:40
371ffa0a,DIC Mill,CRM1 & Service centres,after,27.1.12022026131017.jpg,27.12022026131017.jpg,pending,04-06-2026 17:38:38
b6d9de96,DIC Mill,CRM1 & Service centres,after,27.1.12022026131017.jpg,27.12022026131017.jpg,pending,04-06-2026 17:38:50
f43ff99a,DIC Mill,CRM1 & Service centres,after,27.1.12022026130817.jpg,27.12022026130817.jpg,pending,04-06-2026 17:44:15
